document,model,mode,gold,verdict,correct
emilyalsentzer__Bio_ClinicalBERT_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
epfl-llm__meditron-7b_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
google__medgemma-27b-it_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
google__medgemma-4b-it_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
google__medgemma-4b-it_compliant,baseline-keyword,graphrag,compliant,compliant,True
google__medgemma-4b-it_compliant,gemma4-e4b,bypass,compliant,non-compliant,False
google__medgemma-4b-it_compliant,gemma4-e4b,graphrag,compliant,non-compliant,False
google__medgemma-4b-it_compliant,gemma4-e4b,zeroshot,compliant,non-compliant,False
google__medgemma-4b-it_compliant,llama3.1-8b,bypass,compliant,non-compliant,False
google__medgemma-4b-it_compliant,llama3.1-8b,graphrag,compliant,non-compliant,False
google__medgemma-4b-it_compliant,llama3.1-8b,zeroshot,compliant,non-compliant,False
google__medgemma-4b-it_compliant,mistral-7b,bypass,compliant,non-compliant,False
google__medgemma-4b-it_compliant,mistral-7b,graphrag,compliant,non-compliant,False
google__medgemma-4b-it_compliant,mistral-7b,zeroshot,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-14b,bypass,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-14b,graphrag,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-14b,zeroshot,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-7b,bypass,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-7b,graphrag,compliant,non-compliant,False
google__medgemma-4b-it_compliant,qwen2.5-7b,zeroshot,compliant,non-compliant,False
m42-health__med42-70b_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
m42-health__med42-70b_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
medicalai__ClinicalBERT_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-7b,graphrag,non-compliant,compliant,False
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-BioViL-T_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
microsoft__BiomedVLP-CXR-BERT-specialized_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
microsoft__biogpt_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
model_card_compliant,baseline-keyword,graphrag,compliant,compliant,True
model_card_compliant,gemma4-e4b,bypass,compliant,non-compliant,False
model_card_compliant,gemma4-e4b,graphrag,compliant,non-compliant,False
model_card_compliant,gemma4-e4b,zeroshot,compliant,non-compliant,False
model_card_compliant,llama3.1-8b,bypass,compliant,non-compliant,False
model_card_compliant,llama3.1-8b,graphrag,compliant,non-compliant,False
model_card_compliant,llama3.1-8b,zeroshot,compliant,non-compliant,False
model_card_compliant,mistral-7b,bypass,compliant,non-compliant,False
model_card_compliant,mistral-7b,graphrag,compliant,non-compliant,False
model_card_compliant,mistral-7b,zeroshot,compliant,non-compliant,False
model_card_compliant,qwen2.5-14b,bypass,compliant,non-compliant,False
model_card_compliant,qwen2.5-14b,graphrag,compliant,non-compliant,False
model_card_compliant,qwen2.5-14b,zeroshot,compliant,non-compliant,False
model_card_compliant,qwen2.5-7b,bypass,compliant,non-compliant,False
model_card_compliant,qwen2.5-7b,graphrag,compliant,non-compliant,False
model_card_compliant,qwen2.5-7b,zeroshot,compliant,non-compliant,False
model_card_compliant_one_out,baseline-keyword,graphrag,non-compliant,compliant,False
model_card_compliant_one_out,gemma4-e4b,bypass,non-compliant,non-compliant,True
model_card_compliant_one_out,gemma4-e4b,graphrag,non-compliant,non-compliant,True
model_card_compliant_one_out,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
model_card_compliant_one_out,llama3.1-8b,bypass,non-compliant,non-compliant,True
